Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
49.2,81.8,89.9,113.7,48.6,21.6,1.97,2.7,654,Hazardous
30.0,61.7,0.1,15.6,19.2,8.0,1.83,5.3,529,Moderate
32.6,87.7,59.1,82.6,33.7,9.4,1.7,5.1,634,Poor
33.6,63.7,4.7,13.0,24.8,2.7,1.46,6.5,368,Moderate
27.1,101.5,8.8,6.7,44.8,28.1,2.34,2.8,645,Hazardous
26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389,Good
21.3,71.5,13.4,17.3,19.1,1.1,1.07,11.1,280,Good
30.5,62.3,13.3,18.8,19.7,5.2,1.01,11.4,495,Good
41.4,55.0,14.8,28.8,27.7,16.4,1.32,5.0,297,Moderate
24.4,59.3,8.9,15.7,26.4,6.6,0.94,10.4,576,Good
