Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
26.1,43.6,2.8,11.0,15.4,8.7,1.08,11.2,574,Good
25.6,69.6,3.4,9.3,23.0,6.0,0.73,10.2,554,Good
29.2,40.9,15.4,20.0,27.1,2.9,1.04,11.1,438,Good
26.4,76.0,16.0,32.9,31.8,10.6,2.15,4.8,548,Poor
39.4,101.1,16.6,36.8,49.8,30.4,2.01,3.6,789,Hazardous
40.3,66.1,11.8,21.0,43.4,15.8,2.02,6.2,824,Poor
21.3,53.4,16.1,22.3,19.3,3.7,0.98,11.8,314,Good
30.7,64.6,7.9,23.1,30.7,19.0,1.39,16.6,399,Moderate
29.2,70.3,3.5,8.1,16.7,3.7,1.05,10.8,585,Good
24.8,60.1,0.1,1.7,17.5,5.9,0.99,13.3,457,Good
