Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
25.0,45.7,0.1,3.6,14.3,7.9,1.03,10.7,316,Good
27.7,72.6,99.7,102.3,31.2,7.1,1.21,5.2,506,Moderate
38.2,69.1,37.4,49.4,21.7,10.0,1.82,5.1,540,Moderate
25.0,56.6,3.9,10.9,16.5,4.0,1.06,11.1,583,Good
27.8,47.6,31.6,35.3,21.8,6.4,1.13,14.0,591,Good
34.0,75.9,10.0,18.0,30.4,5.2,1.57,5.2,356,Moderate
30.9,87.1,17.6,32.2,42.7,19.2,1.88,7.6,511,Poor
22.1,75.2,3.2,8.8,14.8,3.6,1.03,15.2,424,Good
32.1,80.5,0.6,13.3,25.9,20.0,1.59,9.0,403,Moderate
33.7,96.3,70.8,87.3,32.9,17.0,2.33,4.8,557,Hazardous
