Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
23.9,79.8,35.5,48.2,25.8,11.1,1.77,8.8,441,Moderate
29.4,62.3,7.4,14.9,25.6,8.2,1.53,11.1,337,Moderate
38.1,82.6,5.1,13.8,25.0,9.9,1.5,6.7,582,Moderate
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate
25.6,80.7,15.7,18.4,15.3,8.1,0.94,12.4,341,Good
24.7,73.9,8.1,16.0,26.4,5.1,0.98,11.0,352,Good
28.2,87.5,2.8,10.6,27.0,8.3,1.77,5.0,538,Moderate
39.1,91.6,139.5,154.6,49.8,17.7,3.32,5.9,566,Hazardous
31.8,68.4,6.7,12.6,23.8,8.3,0.86,10.3,326,Good
18.9,41.8,4.4,10.2,25.7,1.9,0.96,10.1,564,Good
