Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.2,60.6,1.7,16.0,32.7,13.3,1.91,7.2,637,Moderate
29.5,67.3,5.1,11.7,20.5,3.6,1.11,11.2,379,Good
22.6,76.4,15.6,18.6,24.2,4.7,1.04,12.6,430,Good
29.4,53.6,5.6,15.9,28.9,8.5,1.61,8.9,384,Moderate
29.9,45.5,6.8,14.3,19.4,9.4,0.98,11.5,536,Good
27.5,49.8,1.3,9.3,24.8,8.5,1.11,10.7,589,Good
24.9,76.0,32.1,41.6,16.2,17.7,1.49,6.0,612,Moderate
26.7,54.1,4.7,16.1,21.0,6.3,1.24,5.7,613,Moderate
34.0,83.2,19.3,39.1,45.1,21.0,2.28,9.9,496,Poor
37.2,91.9,0.1,14.3,39.2,21.2,1.6,3.5,435,Poor
