Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
43.3,62.8,8.0,21.7,31.1,10.2,2.51,4.7,429,Poor
34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,Moderate
23.9,73.6,2.0,12.0,18.5,3.2,1.08,11.1,239,Good
36.0,70.7,69.5,78.1,29.1,16.2,2.28,7.2,420,Poor
22.6,59.5,2.1,9.3,12.4,7.5,0.95,12.5,451,Good
24.0,86.0,35.5,50.3,29.5,7.0,1.56,5.1,586,Moderate
31.0,66.8,8.7,16.8,25.0,22.1,1.4,5.9,798,Poor
32.2,63.2,0.9,8.3,22.3,5.7,1.44,5.8,504,Moderate
17.0,47.4,10.1,16.5,24.7,2.7,1.02,11.0,555,Good
44.4,70.0,13.0,26.5,36.2,9.2,1.89,2.7,685,Hazardous
