Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
39.7,82.2,2.2,11.8,25.6,9.4,2.2,4.1,562,Poor
24.3,59.4,2.9,9.1,12.2,1.8,1.07,10.1,411,Good
27.9,45.8,1.7,4.8,16.1,2.4,0.95,11.8,486,Good
27.5,40.4,9.0,14.2,15.8,4.5,1.16,10.3,373,Good
26.5,41.4,6.8,11.8,26.6,6.4,0.88,12.4,383,Good
34.7,87.7,44.8,46.0,35.8,11.9,2.11,4.5,473,Poor
29.6,71.8,14.3,23.4,31.9,19.9,1.42,8.6,571,Moderate
20.0,79.1,1.4,3.5,22.5,4.8,0.89,10.3,407,Good
36.0,75.3,43.4,59.5,35.1,22.1,1.97,3.6,468,Poor
31.5,73.6,55.0,68.7,22.3,12.5,1.35,6.2,417,Moderate
