Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
38.8,75.4,114.4,140.5,27.8,16.1,2.45,14.7,783,Hazardous
28.0,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,Good
27.1,69.3,2.0,7.7,16.0,5.0,1.07,11.1,501,Good
39.0,96.8,50.1,61.3,48.3,29.6,2.64,3.4,755,Hazardous
31.4,73.5,3.8,11.4,30.4,2.5,1.69,8.8,618,Moderate
22.6,47.3,1.8,9.0,22.5,5.0,1.17,11.2,433,Good
35.0,58.7,0.6,7.1,19.9,13.2,1.58,5.1,361,Moderate
28.4,75.5,13.1,26.9,20.0,14.1,1.72,5.8,402,Moderate
27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,Good
44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,Poor
