Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
23.6,47.8,3.8,6.4,14.0,3.3,1.09,10.4,209,Good
26.2,64.8,3.2,11.1,24.5,8.6,0.89,10.3,427,Good
31.8,62.9,116.1,127.6,30.0,10.2,2.26,3.8,790,Poor
35.5,90.9,36.7,48.4,35.8,17.5,2.23,11.8,519,Poor
14.4,45.8,44.3,49.1,15.4,1.6,0.87,10.8,486,Good
27.9,39.7,2.3,8.1,22.2,6.3,1.0,10.2,430,Good
30.3,86.8,16.4,30.2,38.2,22.4,2.39,5.7,479,Poor
28.7,63.2,10.7,16.8,22.0,6.4,0.76,15.0,319,Good
36.6,68.4,28.3,42.4,44.2,6.6,2.11,3.8,726,Poor
25.7,51.5,27.7,30.9,15.1,6.7,1.02,12.0,360,Good
